Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
Afghanistan,33.93911,67.709953,44988,282,217.143,1702,12,9.571,1155.662,7.244,5.578,43.721,0.308,0.246,,,,,,,,,,,,,,,,,,8.33
Albania,41.1533,20.1683,33556,795,732,716,17,12.143,11660.296,276.253,254.361,248.801,5.907,4.219,,,,,,,,,,,,,,,,,,65.74
Algeria,28.0339,1.6596,75867,1005,1039.714,2294,22,18,1730.107,22.918,23.71,52.313,0.502,0.41,,,,,,,,,,,,,,,,,,72.22
Andorra,42.5063,1.5218,6304,48,55.714,76,0,0,81589.335,621.239,721.081,983.628,0,0,,,,,,,,,,,,,,,,,,59.26
Angola,-11.2027,17.8739,14634,141,145.571,337,0,1.857,445.259,4.29,4.429,10.254,0,0.057,,,,,,,,,,,,,,,,,,57.41
Antigua and Barbuda,17.0608,-61.7964,139,0,0.714,4,0,0,1419.41,0,7.294,40.846,0,0,,,,,,,,,,,,,,,,,,
Argentina,-38.4161,-63.6167,1374631,4265,8035.286,37122,120,199.286,30415.032,94.367,177.788,821.36,2.655,4.409,,,,,,,,,,,,,,,,,,79.17
Armenia,40.0691,45.0382,126709,485,1260.429,1976,24,26.857,42760.376,163.673,425.356,666.839,8.099,9.063,,,,,,,,,,,,,,,,,,
Australia,-25,133,27843,9,12.143,907,0,0,1091.887,0.353,0.476,35.569,0,0,,,,,,,,,,9740770,31580,381.993,1.238,48429,1.899,0,3988.2,47.22
Austria,47.5162,14.5501,250333,3145,5960,2459,71,81.714,27795.012,349.196,661.752,273.028,7.883,9.073,,685,76.057,3863,428.917,,,,,2901857,20422,322.199,2.267,29678,3.295,0.201,5,82.41
Azerbaijan,40.1431,47.5769,95281,2187,2599.714,1160,29,25,9397.313,215.698,256.403,114.408,2.86,2.466,,,,,,,,,,,,,,,,,,69.91
